Partner,Q1 2017,Q1 2018,Qty (100KG) c.p LY,US_Partner,US_Q1 2017,US_Q1 2018,TT_Partner,TT_Q1 2017,TT_Q1 2018
China,6800862566,6264150753,0.021968649,China,5496782692,4775694611,China,12297645258,11039845364
Bangladesh,4237845779,4076846645,0.105067956,Vietnam,2572803326,2297850569,Bangladesh,5481331293,5143959166
Turkey,2481814893,2453665399,0.017860443,Bangladesh,1243485514,1067112521,Vietnam,3371073447,3089810077
Italy,2188548041,1750235316,-0.291043233,Indonesia,1152068140,940357503.3,Turkey,2596375675,2574166348
India,1535093857,1451418587,-0.023263074,India,988786955.2,847885908.9,India,2523880812,2299304496
Cambodia,886586713,876954902,0.135887102,Mexico,810818014.4,691470746.3,Italy,2471458995,2042788600
Vietnam,798270121,791959508,0.331688186,Cambodia,492810542.6,480704203.3,Cambodia,1379397256,1357659105
Pakistan,729555860,701480351,0.087496099,Honduras,535923951.7,469018537.4,Indonesia,1502226316,1235264781
Morocco,685889078,646820567,-0.038128814,Sri Lanka,498872650.2,385702205.7,Pakistan,1026645678,964435042.9
Tunisia,539220046,563865718,-0.005639288,El Salvador,416863346.7,357093790.2,Sri Lanka,904403659.2,774263427.7
ROW,3528328455,3328330096,0.014574013,ROW,3556551887,3271987726,ROW,8623344040,7969109757
